country,year,gds_pct_gdp
South Korea,1998,38.4
South Korea,1997,36.4
South Korea,1996,36.4
South Korea,1995,38.2
South Korea,1994,38.2
South Korea,1993,38.5
South Korea,1992,38.5
South Korea,1991,39.4
South Korea,1990,39.3
Thailand,2019,34.1
Thailand,2018,34.9
Thailand,2017,34.8
Thailand,2016,33.1
Thailand,2015,31.5
Thailand,2014,30.5
Thailand,2013,31.1
Thailand,2012,30.4
Thailand,2011,30.9
Thailand,2010,32.0
Thailand,2009,31.0
Thailand,2008,32.0
Thailand,2007,33.5
Thailand,2006,32.0
Thailand,2005,30.5
Thailand,2004,31.0
Thailand,2003,31.4
Thailand,2002,31.2
Thailand,2001,30.5
Thailand,2000,32.3
Thailand,1999,33.2
Thailand,1998,35.3
Thailand,1997,34.9
Thailand,1996,36.7
Thailand,1995,37.4
Thailand,1994,36.8
Thailand,1993,37.0
Thailand,1992,35.3
Thailand,1991,35.8
Thailand,1990,34.0
Turkey,2019,31.0
Turkey,2018,32.0
Turkey,2017,29.7
Turkey,2016,28.2
Turkey,2015,28.7
Turkey,2014,27.5
Turkey,2013,27.1
Turkey,2012,26.0
Turkey,2011,25.3
Turkey,2010,24.7
Turkey,2009,24.2
Turkey,2008,26.8
Turkey,2007,25.9
Turkey,2006,26.6
Turkey,2005,25.5
Turkey,2004,23.9
Turkey,2003,22.9
Turkey,2002,24.0
Turkey,2001,24.3
Turkey,2000,21.5
Turkey,1999,21.5
Turkey,1998,26.2
Turkey,1997,27.1
Turkey,1996,28.6
Turkey,1995,28.1
Turkey,1994,18.4
Turkey,1993,18.0
Turkey,1992,17.5
Turkey,1991,17.0
Turkey,1990,20.5
